case_id,client_id,case_type,state,intake_date,date_opened,date_closed,case_status,current_stage,assigned_case_manager,attorney_id,days_in_stage,medical_records_received,missing_documents,communication_count,workup_completed,case_outcome,settlement_amount,workup_completed_date,last_activity_date
CASE-000626,CL-00569,Medical Malpractice,OH,2023-07-15,2023-07-20,,Active - Signed,Retainer Signed,CM-018,ATT-004,55,1,5,9,0,In Progress,,,2025-06-04
CASE-000627,CL-00570,Mass Tort - Camp Lejeune,LA,2024-06-27,2024-07-02,,In Workup,Workup Complete,CM-010,ATT-007,32,1,1,8,1,In Progress,,2024-09-05,2025-06-20
CASE-000628,CL-00570,Workers Compensation,LA,2024-06-27,2024-07-02,,In Negotiation,Negotiation,CM-007,ATT-007,18,1,1,15,1,In Progress,,2024-08-28,2025-06-29
CASE-000629,CL-00571,Motor Vehicle Accident,TN,2024-10-08,2024-10-08,2025-02-10,Dropped,Records Received,CM-015,ATT-004,63,1,1,5,0,Dropped,,,2025-02-10
CASE-000630,CL-00572,Product Liability,NJ,2024-04-21,2024-04-24,,Active - Signed,Retainer Signed,CM-012,ATT-004,27,1,0,8,0,In Progress,,,2025-06-03
CASE-000631,CL-00573,Motor Vehicle Accident,PA,2024-06-10,2024-06-13,,Active - Intake,Intake,CM-009,ATT-006,68,1,2,13,0,In Progress,,,2025-06-14
CASE-000632,CL-00574,Dog Bite,TX,2025-06-07,2025-06-10,,In Negotiation,Demand Sent,CM-003,ATT-010,28,0,2,5,1,In Progress,,,2025-06-15
CASE-000633,CL-00575,Medical Malpractice,PA,2024-12-28,2025-01-01,2025-02-07,Dropped,Retainer Signed,CM-012,ATT-009,22,1,5,6,0,Dropped,,,2025-02-07
CASE-000634,CL-00576,Mass Tort - Roundup,NC,2024-08-12,2024-08-12,2025-06-20,Dropped,Resolved,CM-012,ATT-001,58,1,2,9,1,Dropped,,2024-10-29,2025-06-07
CASE-000635,CL-00576,Slip and Fall,NC,2024-08-12,2024-08-15,,In Workup,Workup Complete,CM-003,ATT-007,30,1,3,8,1,In Progress,,2024-11-12,2025-06-30
CASE-000636,CL-00577,Motor Vehicle Accident,NC,2024-02-24,2024-02-28,2025-01-19,Dropped,Workup Complete,CM-013,ATT-008,58,0,1,16,1,Dropped,,2024-05-21,2025-01-19
CASE-000637,CL-00578,Motor Vehicle Accident,NY,2025-04-26,2025-04-27,,In Negotiation,Demand Sent,CM-012,ATT-006,29,1,0,7,1,In Progress,,,2025-06-06
CASE-000638,CL-00578,Slip and Fall,NY,2025-04-26,2025-04-29,,In Negotiation,Demand Sent,CM-003,ATT-010,2,1,2,9,1,In Progress,,,2025-06-12
CASE-000639,CL-00579,Slip and Fall,CA,2024-01-04,2024-01-06,,In Negotiation,Demand Sent,CM-004,ATT-005,64,1,0,12,1,In Progress,,2024-03-03,2025-06-08
CASE-000640,CL-00580,Premises Liability,TX,2024-04-05,2024-04-05,,Active - Intake,Intake,CM-001,ATT-009,34,0,1,10,0,In Progress,,,2025-06-12
CASE-000641,CL-00581,Mass Tort - Talcum,CA,2025-05-05,2025-05-10,,Active - Intake,Intake,CM-006,ATT-006,15,1,2,6,0,In Progress,,,2025-06-27
CASE-000642,CL-00582,Mass Tort - Roundup,TX,2024-08-06,2024-08-06,,In Negotiation,Demand Sent,CM-014,ATT-010,64,0,3,8,1,In Progress,,2024-11-28,2025-05-02
CASE-000643,CL-00582,Motor Vehicle Accident,TX,2024-08-06,2024-08-06,,Active - Signed,Retainer Signed,CM-015,ATT-002,14,0,0,10,0,In Progress,,,2025-05-10
CASE-000644,CL-00583,Premises Liability,AZ,2024-12-20,2024-12-21,2025-06-16,Settled,Resolved,CM-003,ATT-008,72,0,1,9,1,Settled,77715.82,2025-03-22,2025-06-16
CASE-000645,CL-00584,Premises Liability,FL,2024-09-11,2024-09-11,,Active - Signed,Retainer Signed,CM-015,ATT-010,53,0,1,17,0,In Progress,,,2025-06-25
CASE-000646,CL-00585,Motor Vehicle Accident,TX,2024-10-20,2024-10-22,,Active - Signed,Retainer Signed,CM-007,ATT-005,47,1,2,9,0,In Progress,,,2025-06-15
CASE-000647,CL-00586,Nursing Home Negligence,FL,2024-03-10,2024-03-10,,In Workup,Workup Complete,CM-018,ATT-008,27,0,1,7,1,In Progress,,2024-06-07,2025-06-11
CASE-000648,CL-00587,Workers Compensation,IL,2024-01-10,2024-01-10,2025-06-30,Closed-Lost,Resolved,CM-015,ATT-010,57,0,0,7,1,Dismissed,,2024-03-27,2025-06-16
CASE-000649,CL-00588,Motor Vehicle Accident,CA,2024-04-02,2024-04-03,,Pending Records,Records Requested,CM-009,ATT-010,6,1,2,7,0,In Progress,,,2025-06-24
CASE-000650,CL-00588,Nursing Home Negligence,CA,2024-04-02,2024-04-02,,In Workup,Records Received,CM-004,ATT-012,20,1,2,9,0,In Progress,,,2025-06-04
CASE-000651,CL-00589,Nursing Home Negligence,TX,2023-10-27,2023-10-28,,In Workup,Workup Complete,CM-006,ATT-010,77,1,1,9,1,In Progress,,2024-01-02,2025-06-15
CASE-000652,CL-00590,Premises Liability,FL,2025-04-09,2025-04-14,2025-06-30,Settled,Resolved,CM-001,ATT-002,63,1,2,8,1,Settled,42890.36,2025-06-30,2025-06-15
CASE-000653,CL-00591,Mass Tort - Camp Lejeune,IL,2024-02-22,2024-02-26,2025-03-02,Dropped,Demand Sent,CM-018,ATT-009,35,1,0,6,1,Dropped,,2024-04-17,2025-03-02
CASE-000654,CL-00592,Workers Compensation,TN,2024-08-25,2024-08-29,2024-11-19,Dropped,Retainer Signed,CM-005,ATT-003,53,1,2,7,0,Dropped,,,2024-11-19
CASE-000655,CL-00593,Nursing Home Negligence,NJ,2025-01-30,2025-01-31,,In Workup,Workup Complete,CM-005,ATT-008,22,1,0,8,1,In Progress,,2025-03-25,2025-06-23
CASE-000656,CL-00594,Mass Tort - Talcum,CA,2025-01-23,2025-01-27,,In Workup,Records Received,CM-017,ATT-003,58,1,3,13,0,In Progress,,,2025-06-30
CASE-000657,CL-00595,Motor Vehicle Accident,FL,2024-06-20,2024-06-20,,In Negotiation,Demand Sent,CM-018,ATT-009,50,0,2,9,1,In Progress,,2024-10-01,2025-06-27
CASE-000658,CL-00596,Nursing Home Negligence,PA,2024-07-09,2024-07-10,2025-06-14,Dropped,Resolved,CM-018,ATT-009,39,1,5,11,1,Dropped,,2024-11-03,2025-06-14
CASE-000659,CL-00597,Nursing Home Negligence,CA,2025-06-28,2025-07-02,,In Workup,Records Received,CM-003,ATT-003,59,0,1,9,0,In Progress,,,2025-06-23
CASE-000660,CL-00598,Motor Vehicle Accident,FL,2024-11-03,2024-11-08,,Active - Signed,Retainer Signed,CM-017,ATT-001,36,1,2,5,0,In Progress,,,2025-06-12
CASE-000661,CL-00598,Motor Vehicle Accident,FL,2024-11-03,2024-11-04,2025-06-30,Settled,Resolved,CM-008,ATT-002,40,0,3,11,1,Settled,21570.35,2025-03-01,2025-06-19
CASE-000662,CL-00599,Workers Compensation,PA,2025-02-18,2025-02-19,,Pending Records,Records Requested,CM-015,ATT-002,35,1,2,6,0,In Progress,,,2025-05-27
CASE-000663,CL-00600,Medical Malpractice,GA,2025-04-30,2025-05-04,,Pending Records,Records Requested,CM-004,ATT-004,50,1,2,12,0,In Progress,,,2025-06-22
CASE-000664,CL-00601,Mass Tort - Talcum,MI,2025-01-26,2025-01-28,,Active - Intake,Intake,CM-012,ATT-009,25,0,0,9,0,In Progress,,,2025-06-28
CASE-000665,CL-00602,Slip and Fall,CA,2023-11-20,2023-11-21,2025-06-30,Settled,Resolved,CM-011,ATT-004,22,0,1,11,1,Settled,-37203.15,2024-02-22,2025-06-30
CASE-000666,CL-00603,Motor Vehicle Accident,FL,2024-08-25,2024-08-28,,In Workup,Workup Complete,CM-008,ATT-011,51,1,2,12,1,In Progress,,2024-11-17,2025-06-28
CASE-000667,CL-00604,Motor Vehicle Accident,TN,2023-09-17,2023-09-20,,In Negotiation,Negotiation,CM-013,ATT-001,60,1,0,11,1,In Progress,,2023-11-15,2025-06-19
CASE-000668,CL-00605,Motor Vehicle Accident,TN,2024-10-20,2024-10-21,2025-05-17,Dropped,Negotiation,CM-015,ATT-005,37,1,2,7,1,Dropped,,2025-01-05,2025-05-17
CASE-000669,CL-00605,Mass Tort - Roundup,TN,2024-10-20,2024-10-24,,In Workup,Records Received,CM-013,ATT-003,46,0,6,9,0,In Progress,,,2025-06-11
CASE-000670,CL-00606,Premises Liability,FL,2025-06-04,2025-06-04,,In Workup,Workup Complete,CM-013,ATT-002,34,1,0,11,1,In Progress,,,2025-03-28
CASE-000671,CL-00607,Motor Vehicle Accident,GA,2024-07-27,2024-07-30,2025-06-30,Settled,Resolved,CM-005,ATT-006,51,1,3,11,1,Settled,52098.75,2024-10-30,2025-04-17
CASE-000672,CL-00608,Mass Tort - Camp Lejeune,AZ,2024-06-17,2024-06-18,,Active - Signed,Retainer Signed,CM-010,ATT-004,4,1,2,7,0,In Progress,,,2025-06-18
CASE-000673,CL-00609,Motor Vehicle Accident,GA,2023-07-29,2023-07-31,,In Workup,Records Received,CM-012,ATT-007,63,1,3,9,0,In Progress,,,2025-06-22
CASE-000674,CL-00610,Nursing Home Negligence,OH,2025-06-07,2025-06-12,,In Negotiation,Demand Sent,CM-016,ATT-004,65,1,2,12,1,In Progress,,,2025-06-29
CASE-000675,CL-00611,Premises Liability,NY,2023-09-17,2023-09-20,,In Workup,Records Received,CM-001,ATT-005,20,1,6,10,0,In Progress,,,2025-06-13
CASE-000676,CL-00612,Mass Tort - Camp Lejeune,IL,2023-08-02,2023-08-06,2025-06-30,Settled,Resolved,CM-016,ATT-003,83,1,2,8,1,Settled,164857.26,2023-10-22,2025-05-09
CASE-000677,CL-00612,Medical Malpractice,IL,2023-08-02,2023-08-03,,In Workup,Records Received,CM-014,ATT-011,34,0,2,13,0,In Progress,,,2025-06-22
CASE-000678,CL-00613,Motor Vehicle Accident,OH,2024-01-15,2024-01-20,2025-06-30,Settled,Resolved,CM-016,ATT-004,73,1,2,8,1,Settled,43106.63,2024-04-06,2025-06-11
CASE-000679,CL-00614,Motor Vehicle Accident,NJ,2023-08-21,2023-08-26,,In Negotiation,Demand Sent,CM-001,ATT-012,79,1,3,9,1,In Progress,,2023-11-24,2025-06-28
CASE-000680,CL-00615,Motor Vehicle Accident,NC,2024-06-28,2024-06-30,2025-04-27,Dropped,Negotiation,CM-018,ATT-001,54,1,1,8,1,Dropped,,2024-09-03,2025-04-27
CASE-000681,CL-00616,Motor Vehicle Accident,TX,2024-07-29,2024-08-02,,In Negotiation,Negotiation,CM-014,ATT-011,11,1,0,9,1,In Progress,,2024-09-25,2025-06-09
CASE-000682,CL-00617,Mass Tort - Roundup,TX,2024-03-23,2024-03-27,2025-06-30,Settled,Resolved,CM-018,ATT-003,49,1,0,6,1,Settled,146233.74,2024-05-17,2025-06-17
CASE-000683,CL-00617,Nursing Home Negligence,TX,2024-03-23,2024-03-23,2025-06-29,Settled,Resolved,CM-016,ATT-012,59,1,0,10,1,Settled,174739.96,2024-05-17,2025-06-29
CASE-000684,CL-00618,Workers Compensation,CA,2023-08-10,2023-08-10,,In Negotiation,Demand Sent,CM-010,ATT-005,69,1,0,13,1,In Progress,,2023-10-07,2025-06-23
CASE-000685,CL-00619,Medical Malpractice,CA,2023-09-24,2023-09-28,,Pending Records,Records Requested,CM-004,ATT-011,15,0,1,8,0,In Progress,,,2025-06-26
CASE-000686,CL-00620,Workers Compensation,LA,2024-05-20,2024-05-22,,In Negotiation,Negotiation,CM-015,ATT-006,32,1,2,8,1,In Progress,,2024-08-07,2025-06-27
CASE-000687,CL-00621,Medical Malpractice,GA,2023-08-17,2023-08-21,,In Negotiation,Demand Sent,CM-018,ATT-006,58,0,3,10,1,In Progress,,2023-12-15,2025-05-07
CASE-000688,CL-00622,Mass Tort - Roundup,IL,2024-11-18,2024-11-21,,In Negotiation,Negotiation,CM-010,ATT-007,19,0,2,5,1,In Progress,,2025-02-28,2025-06-07
CASE-000689,CL-00623,Mass Tort - Roundup,TX,2023-12-09,2023-12-12,,Active - Intake,Intake,CM-013,ATT-002,66,1,1,6,0,In Progress,,,2025-06-11
CASE-000690,CL-00624,Motor Vehicle Accident,AZ,2024-03-13,2024-03-17,,In Workup,Records Received,CM-003,ATT-011,63,0,2,8,0,In Progress,,,2025-06-22
CASE-000691,CL-00625,Medical Malpractice,NJ,2024-05-26,2024-05-30,,In Workup,Records Received,CM-003,ATT-004,46,0,1,13,0,In Progress,,,2025-06-28
CASE-000692,CL-00626,Dog Bite,TX,2024-06-08,2024-06-08,,In Negotiation,Negotiation,CM-018,ATT-006,60,1,2,14,1,In Progress,,2024-08-30,2025-06-11
CASE-000693,CL-00627,Dog Bite,OH,2023-07-02,2023-07-06,,In Negotiation,Negotiation,CM-018,ATT-011,29,1,0,13,1,In Progress,,2023-09-02,2025-05-13
CASE-000694,CL-00628,Medical Malpractice,FL,2023-09-24,2023-09-25,,Active - Signed,Retainer Signed,CM-017,ATT-012,25,0,1,17,0,In Progress,,,2025-06-13
CASE-000695,CL-00629,Wrongful Death,FL,2025-03-31,2025-04-01,,In Workup,Workup Complete,CM-005,ATT-010,47,1,0,11,1,In Progress,,2025-05-27,2025-06-13
CASE-000696,CL-00630,Wrongful Death,TX,2023-07-02,2023-07-07,2025-06-30,Closed-Lost,Resolved,CM-011,ATT-012,93,1,0,15,1,Dismissed,,2023-08-21,2025-06-25
CASE-000697,CL-00631,Workers Compensation,CA,2024-07-25,2024-07-26,,In Workup,Workup Complete,CM-018,ATT-009,63,1,3,8,1,In Progress,,2024-10-23,2025-06-30
CASE-000698,CL-00631,Mass Tort - Roundup,CA,2024-07-25,2024-07-30,,In Workup,Workup Complete,CM-018,ATT-003,48,1,0,10,1,In Progress,,2024-09-23,2025-06-16
CASE-000699,CL-00632,Mass Tort - Camp Lejeune,TN,2024-07-16,2024-07-20,2025-06-19,Settled,Resolved,CM-004,ATT-003,61,1,2,10,1,Settled,88848.48,2024-10-07,2025-06-07
CASE-000700,CL-00632,Motor Vehicle Accident,TN,2024-07-16,2024-07-21,,In Workup,Workup Complete,CM-004,ATT-001,37,1,1,12,1,In Progress,,2024-09-28,2025-06-25
CASE-000701,CL-00633,Motor Vehicle Accident,IL,2024-04-12,2024-04-13,,Active - Signed,Retainer Signed,CM-004,ATT-002,46,0,2,4,0,In Progress,,,2025-06-27
CASE-000702,CL-00634,Mass Tort - Camp Lejeune,TX,2024-06-16,2024-06-17,,Active - Signed,Retainer Signed,CM-017,ATT-009,44,1,1,7,0,In Progress,,,2025-06-27
CASE-000703,CL-00635,Workers Compensation,NJ,2025-01-20,2025-01-25,,In Negotiation,Negotiation,CM-003,ATT-005,65,1,3,10,1,In Progress,,2025-04-26,2025-06-07
CASE-000704,CL-00636,Motor Vehicle Accident,TX,2025-03-13,2025-03-14,,In Negotiation,Negotiation,CM-006,ATT-003,25,1,0,17,1,In Progress,,2025-04-30,2025-05-31
CASE-000705,CL-00637,Motor Vehicle Accident,TX,2024-01-30,2024-02-03,,In Negotiation,Negotiation,CM-005,ATT-009,22,1,5,8,1,In Progress,,2024-05-26,2025-06-02
CASE-000706,CL-00637,Medical Malpractice,TX,2024-01-30,2024-02-01,,Active - Signed,Retainer Signed,CM-005,ATT-008,36,1,1,9,0,In Progress,,,2025-05-24
CASE-000707,CL-00638,Mass Tort - Camp Lejeune,IL,2024-04-02,2024-04-05,,In Negotiation,Demand Sent,CM-005,ATT-003,21,1,1,11,1,In Progress,,2024-06-12,2025-05-09
CASE-000708,CL-00639,Motor Vehicle Accident,FL,2024-01-12,2024-01-13,2025-06-30,Settled,Resolved,CM-006,ATT-008,35,0,1,9,1,Settled,60825.52,2024-04-13,2025-06-27
CASE-000709,CL-00640,Workers Compensation,GA,2024-07-11,2024-07-12,,In Negotiation,Demand Sent,CM-016,ATT-009,26,1,1,6,1,In Progress,,2024-09-13,2025-06-18
CASE-000710,CL-00641,Premises Liability,GA,2024-11-08,2024-11-08,,In Workup,Workup Complete,CM-010,ATT-008,47,0,3,7,1,In Progress,,2025-03-01,2025-06-15
CASE-000711,CL-00642,Motor Vehicle Accident,CA,2023-12-29,2023-12-29,,Active - Signed,Retainer Signed,CM-005,ATT-004,5,1,1,6,0,In Progress,,,2025-06-25
CASE-000712,CL-00643,Mass Tort - Camp Lejeune,NY,2024-04-10,2024-04-14,,In Workup,Records Received,CM-003,ATT-001,60,1,3,10,0,In Progress,,,2025-06-03
CASE-000713,CL-00644,Workers Compensation,IL,2025-05-19,2025-05-21,,In Negotiation,Negotiation,CM-010,ATT-006,30,1,2,9,1,In Progress,,,2025-06-30
CASE-000714,CL-00645,Mass Tort - Roundup,TX,2023-08-08,2023-08-09,,In Workup,Records Received,CM-006,ATT-001,51,1,0,6,0,In Progress,,,2025-06-19
CASE-000715,CL-00646,Medical Malpractice,TX,2024-07-01,2024-07-05,,In Workup,Records Received,CM-014,ATT-010,9,1,1,11,0,In Progress,,,2025-06-24
CASE-000716,CL-00646,Premises Liability,TX,2024-07-01,2024-07-03,,In Negotiation,Negotiation,CM-017,ATT-008,37,1,2,6,1,In Progress,,2024-09-16,2025-06-15
CASE-000717,CL-00647,Slip and Fall,IL,2024-11-28,2024-11-28,,In Negotiation,Negotiation,CM-002,ATT-004,23,0,3,9,1,In Progress,,2025-03-23,2025-06-08
CASE-000718,CL-00648,Mass Tort - Camp Lejeune,FL,2023-10-23,2023-10-23,,Pending Records,Records Requested,CM-001,ATT-005,15,1,1,15,0,In Progress,,,2025-05-16
CASE-000719,CL-00649,Mass Tort - Roundup,FL,2023-08-07,2023-08-09,,Active - Signed,Retainer Signed,CM-004,ATT-006,19,1,2,15,0,In Progress,,,2025-06-30
CASE-000720,CL-00650,Motor Vehicle Accident,TX,2023-10-14,2023-10-15,2025-06-22,Dropped,Resolved,CM-006,ATT-006,62,1,2,8,1,Dropped,,2023-12-31,2025-06-22
CASE-000721,CL-00651,Motor Vehicle Accident,FL,2025-05-11,2025-05-13,,In Workup,Workup Complete,CM-015,ATT-008,33,1,1,9,1,In Progress,,,2025-06-24
CASE-000722,CL-00652,Wrongful Death,PA,2023-07-08,2023-07-13,2025-06-30,Settled,Resolved,CM-004,ATT-009,25,1,1,13,1,Settled,561120.22,2023-09-21,2025-06-25
CASE-000723,CL-00653,Workers Compensation,FL,2023-11-23,2023-11-25,,Pending Records,Records Requested,CM-005,ATT-012,57,1,4,9,0,In Progress,,,2025-06-28
CASE-000724,CL-00653,Premises Liability,FL,2023-11-23,2023-11-23,,In Negotiation,Demand Sent,CM-001,ATT-011,50,0,1,8,1,In Progress,,2024-02-21,2025-06-18
CASE-000725,CL-00654,Dog Bite,TX,2023-07-26,2023-07-26,,In Negotiation,Negotiation,CM-001,ATT-002,50,1,3,9,1,In Progress,,2023-10-24,2025-06-19
CASE-000726,CL-00655,Motor Vehicle Accident,IL,2023-09-23,2023-09-28,,In Negotiation,Demand Sent,CM-007,ATT-002,22,0,1,14,1,In Progress,,2024-01-02,2025-06-23
CASE-000727,CL-00656,Premises Liability,MO,2024-09-29,2024-10-02,,Active - Intake,Intake,CM-005,ATT-009,7,0,1,6,0,In Progress,,,2025-06-24
CASE-000728,CL-00657,Mass Tort - Camp Lejeune,TN,2024-01-11,2024-01-13,,In Negotiation,Negotiation,CM-008,ATT-002,38,1,0,5,1,In Progress,,2024-03-03,2025-06-23
CASE-000729,CL-00657,Slip and Fall,TN,2024-01-11,2024-01-13,,In Negotiation,Demand Sent,CM-013,ATT-011,48,1,3,8,1,In Progress,,2024-04-11,2025-06-29
CASE-000730,CL-00658,Motor Vehicle Accident,TX,2024-08-30,2024-09-02,,In Negotiation,Demand Sent,CM-015,ATT-002,76,1,3,8,1,In Progress,,2024-11-30,2025-06-29
CASE-000731,CL-00659,Motor Vehicle Accident,AL,2024-09-11,2024-09-13,,Pending Records,Records Requested,CM-016,ATT-009,48,0,2,10,0,In Progress,,,2025-06-21
CASE-000732,CL-00660,Motor Vehicle Accident,NJ,2025-03-20,2025-03-21,,Pending Records,Records Requested,CM-008,ATT-007,51,1,1,5,0,In Progress,,,2025-05-07
CASE-000733,CL-00661,Mass Tort - Camp Lejeune,LA,2023-07-04,2023-07-04,,Active - Signed,Retainer Signed,CM-008,ATT-002,45,1,5,12,0,In Progress,,,2025-05-13
CASE-000734,CL-00662,Medical Malpractice,MO,2025-03-23,2025-03-26,,In Workup,Workup Complete,CM-002,ATT-008,66,0,1,13,1,In Progress,,,2025-05-23
CASE-000735,CL-00662,Motor Vehicle Accident,MO,2025-03-23,2025-03-23,,In Workup,Workup Complete,CM-008,ATT-006,31,0,1,17,1,In Progress,,,2025-06-29
CASE-000736,CL-00663,Mass Tort - Talcum,TX,2024-09-29,2024-09-29,,Active - Intake,Intake,CM-014,ATT-006,64,0,3,6,0,In Progress,,,2025-06-19
CASE-000737,CL-00664,Premises Liability,VA,2023-11-02,2023-11-07,,In Negotiation,Negotiation,CM-008,ATT-002,37,1,3,9,1,In Progress,,2024-02-05,2025-06-25
CASE-000738,CL-00665,Slip and Fall,NJ,2025-01-14,2025-01-16,2025-06-30,Settled,Resolved,CM-002,ATT-004,57,1,2,10,1,Settled,23306.73,2025-04-05,2025-04-29
CASE-000739,CL-00666,Wrongful Death,NY,2025-03-25,2025-03-28,,In Negotiation,Negotiation,CM-004,ATT-003,26,1,1,11,1,In Progress,,,2025-04-16
CASE-000740,CL-00667,Dog Bite,FL,2024-01-23,2024-01-24,,In Negotiation,Demand Sent,CM-012,ATT-007,37,1,3,10,1,In Progress,,2024-04-24,2025-06-22
CASE-000741,CL-00668,Motor Vehicle Accident,TN,2025-05-11,2025-05-11,2025-06-30,Settled,Resolved,CM-017,ATT-001,35,1,3,12,1,Settled,65476.64,,2025-06-27
CASE-000742,CL-00668,Workers Compensation,TN,2025-05-11,2025-05-11,2025-06-16,Settled,Resolved,CM-005,ATT-002,60,1,2,9,1,Settled,27421.35,,2025-06-16
CASE-000743,CL-00669,Medical Malpractice,GA,2024-06-28,2024-06-29,,In Workup,Records Received,CM-014,ATT-005,56,0,4,6,0,In Progress,,,2025-06-27
CASE-000744,CL-00670,Product Liability,MI,2024-09-19,2024-09-22,,In Workup,Records Received,CM-017,ATT-008,56,1,3,13,0,In Progress,,,2025-06-15
CASE-000745,CL-00671,Workers Compensation,FL,2025-06-22,2025-06-25,2025-06-26,Settled,Resolved,CM-003,ATT-001,15,1,0,10,1,Settled,17592.19,,2025-06-26
CASE-000746,CL-00672,Motor Vehicle Accident,PA,2024-05-05,2024-05-07,,Active - Signed,Retainer Signed,CM-010,ATT-009,56,1,0,10,0,In Progress,,,2025-06-22
CASE-000747,CL-00673,Workers Compensation,TX,2025-02-17,2025-02-20,,Pending Records,Records Requested,CM-011,ATT-003,14,1,3,11,0,In Progress,,,2025-06-21
CASE-000748,CL-00674,Mass Tort - Camp Lejeune,FL,2024-03-29,2024-03-31,,In Negotiation,Demand Sent,CM-006,ATT-005,53,1,1,11,1,In Progress,,2024-06-07,2025-06-19
CASE-000749,CL-00675,Workers Compensation,CA,2025-02-05,2025-02-06,,Pending Records,Records Requested,CM-013,ATT-008,36,0,3,10,0,In Progress,,,2025-06-21
CASE-000750,CL-00676,Mass Tort - Roundup,NJ,2024-09-18,2024-09-22,,In Workup,Records Received,CM-015,ATT-005,16,1,2,4,0,In Progress,,,2025-06-26
CASE-000751,CL-00676,Slip and Fall,NJ,2024-09-18,2024-09-20,,Active - Intake,Intake,CM-014,ATT-009,49,0,2,8,0,In Progress,,,2025-06-11
CASE-000752,CL-00677,Mass Tort - Roundup,PA,2023-12-18,2023-12-21,,In Workup,Records Received,CM-001,ATT-001,16,1,2,6,0,In Progress,,,2025-06-28
CASE-000753,CL-00678,Motor Vehicle Accident,TX,2024-06-06,2024-06-10,,In Negotiation,Demand Sent,CM-007,ATT-005,31,0,1,8,1,In Progress,,2024-09-08,2025-06-23
CASE-000754,CL-00679,Premises Liability,IL,2024-03-28,2024-03-30,,Pending Records,Records Requested,CM-012,ATT-005,45,1,4,5,0,In Progress,,,2025-06-15
CASE-000755,CL-00680,Workers Compensation,IL,2023-08-30,2023-09-02,,Pending Records,Records Requested,CM-002,ATT-001,50,1,2,10,0,In Progress,,,2025-06-29
CASE-000756,CL-00680,Motor Vehicle Accident,IL,2023-08-30,2023-09-03,,In Workup,Workup Complete,CM-018,ATT-006,44,0,1,9,1,In Progress,,2023-12-03,2025-06-25
CASE-000757,CL-00681,Motor Vehicle Accident,MS,2023-07-25,2023-07-27,,In Workup,Workup Complete,CM-012,ATT-006,27,1,2,8,1,In Progress,,2023-10-12,2025-06-26
CASE-000758,CL-00682,Dog Bite,TX,2024-04-24,2024-04-29,,In Negotiation,Demand Sent,CM-012,ATT-011,51,1,0,9,1,In Progress,,2024-06-22,2025-06-20
CASE-000759,CL-00683,Mass Tort - Roundup,NJ,2023-07-16,2023-07-17,,Active - Intake,Intake,CM-017,ATT-007,64,1,0,4,0,In Progress,,,2025-06-01
CASE-000760,CL-00684,Motor Vehicle Accident,AL,2023-11-04,2023-11-05,2025-06-30,Settled,Resolved,CM-005,ATT-011,64,1,1,5,1,Settled,30629.08,2024-01-06,2025-05-04
CASE-000761,CL-00685,Product Liability,AZ,2024-12-08,2024-12-09,2025-06-23,Settled,Resolved,CM-003,ATT-006,48,0,1,7,1,Settled,36752.95,2025-03-08,2025-05-29
CASE-000762,CL-00686,Mass Tort - Roundup,MI,2024-11-25,2024-11-29,,Active - Signed,Retainer Signed,CM-002,ATT-010,45,1,1,14,0,In Progress,,,2025-06-21
CASE-000763,CL-00687,Workers Compensation,NJ,2024-12-18,2024-12-22,,Pending Records,Records Requested,CM-011,ATT-012,53,0,1,7,0,In Progress,,,2025-05-05
CASE-000764,CL-00688,Workers Compensation,TN,2024-03-28,2024-03-29,2025-06-30,Settled,Resolved,CM-015,ATT-004,19,1,3,8,1,Settled,21562.8,2024-06-26,2025-05-07
CASE-000765,CL-00688,Mass Tort - Talcum,TN,2024-03-28,2024-04-02,,Pending Records,Records Requested,CM-010,ATT-005,12,1,1,8,0,In Progress,,,2025-06-27
CASE-000766,CL-00689,Premises Liability,FL,2025-04-21,2025-04-21,2025-06-30,Closed-Lost,Resolved,CM-010,ATT-010,36,1,1,5,1,Dismissed,,2025-06-22,2025-06-10
CASE-000767,CL-00690,Wrongful Death,TX,2024-09-13,2024-09-14,,In Workup,Workup Complete,CM-014,ATT-008,11,0,5,12,1,In Progress,,2025-02-03,2025-05-07
CASE-000768,CL-00691,Mass Tort - Camp Lejeune,PA,2023-10-05,2023-10-10,2024-03-09,Dropped,Retainer Signed,CM-015,ATT-004,54,1,2,12,0,Dropped,,,2024-03-09
CASE-000769,CL-00692,Workers Compensation,MO,2023-10-18,2023-10-20,,Active - Signed,Retainer Signed,CM-015,ATT-006,8,0,5,9,0,In Progress,,,2025-05-13
CASE-000770,CL-00693,Mass Tort - Camp Lejeune,CA,2024-11-15,2024-11-17,,Active - Intake,Intake,CM-010,ATT-011,19,1,4,13,0,In Progress,,,2025-06-21
CASE-000771,CL-00694,Mass Tort - Roundup,LA,2023-11-10,2023-11-10,,In Negotiation,Negotiation,CM-017,ATT-002,19,1,1,9,1,In Progress,,2024-01-15,2025-06-01
CASE-000772,CL-00695,Dog Bite,TX,2024-07-24,2024-07-27,,In Workup,Records Received,CM-001,ATT-011,57,0,1,8,0,In Progress,,,2025-06-28
CASE-000773,CL-00696,Workers Compensation,VA,2025-06-26,2025-06-28,,In Workup,Workup Complete,CM-003,ATT-009,15,1,3,10,1,In Progress,,,2025-06-21
CASE-000774,CL-00697,Workers Compensation,NC,2023-07-04,2023-07-04,,Pending Records,Records Requested,CM-001,ATT-010,33,0,2,7,0,In Progress,,,2025-06-28
