activity_id,case_id,case_manager_id,activity_type,activity_date,duration_minutes
ACT-0004446,CASE-000702,CM-017,Phone Call,2024-08-22,29
ACT-0004447,CASE-000702,CM-017,Document Request,2024-07-27,20
ACT-0004448,CASE-000702,CM-017,Status Update,2024-06-19,10
ACT-0004449,CASE-000702,CM-017,Negotiation Call,2024-09-09,14
ACT-0004450,CASE-000702,CM-017,Medical Record Review,2024-07-17,6
ACT-0004451,CASE-000703,CM-003,Internal Note,2025-03-21,24
ACT-0004452,CASE-000703,CM-003,Client Meeting,2025-03-23,17
ACT-0004453,CASE-000703,CM-003,Status Update,2025-04-11,13
ACT-0004454,CASE-000703,CM-003,Document Request,2025-05-08,23
ACT-0004455,CASE-000703,CM-003,Negotiation Call,2025-04-12,34
ACT-0004456,CASE-000703,CM-003,SMS,2025-02-03,18
ACT-0004457,CASE-000704,CM-006,Negotiation Call,2025-05-16,17
ACT-0004458,CASE-000704,CM-006,Medical Record Review,2025-05-23,20
ACT-0004459,CASE-000704,CM-006,Negotiation Call,2025-03-14,16
ACT-0004460,CASE-000704,CM-006,Document Request,2025-06-05,3
ACT-0004461,CASE-000704,CM-006,Phone Call,2025-05-11,11
ACT-0004462,CASE-000704,CM-006,SMS,2025-06-08,34
ACT-0004463,CASE-000704,CM-006,Status Update,2025-05-10,13
ACT-0004464,CASE-000704,CM-006,Negotiation Call,2025-04-04,14
ACT-0004465,CASE-000705,CM-005,Demand Drafting,2024-05-30,14
ACT-0004466,CASE-000705,CM-005,Demand Drafting,2024-09-24,20
ACT-0004467,CASE-000705,CM-005,SMS,2025-03-15,18
ACT-0004468,CASE-000705,CM-005,Medical Record Review,2024-06-06,12
ACT-0004469,CASE-000706,CM-005,Medical Record Review,2024-05-16,13
ACT-0004470,CASE-000706,CM-005,Email,2024-03-03,21
ACT-0004471,CASE-000706,CM-005,Client Meeting,2024-02-13,11
ACT-0004472,CASE-000706,CM-005,SMS,2024-04-11,17
ACT-0004473,CASE-000706,CM-005,Status Update,2024-06-13,30
ACT-0004474,CASE-000706,CM-005,Negotiation Call,2024-05-27,16
ACT-0004475,CASE-000707,CM-005,Phone Call,2025-01-29,25
ACT-0004476,CASE-000707,CM-005,Email,2024-06-30,13
ACT-0004477,CASE-000707,CM-005,Status Update,2024-07-01,38
ACT-0004478,CASE-000707,CM-005,Negotiation Call,2024-11-24,4
ACT-0004479,CASE-000707,CM-005,Client Meeting,2024-11-16,11
ACT-0004480,CASE-000707,CM-005,Phone Call,2025-02-05,24
ACT-0004481,CASE-000708,CM-006,Client Meeting,2024-03-05,21
ACT-0004482,CASE-000708,CM-006,Email,2024-11-04,18
ACT-0004483,CASE-000708,CM-006,SMS,2025-02-22,1
ACT-0004484,CASE-000708,CM-006,Phone Call,2024-09-20,8
ACT-0004485,CASE-000708,CM-006,Status Update,2024-12-14,6
ACT-0004486,CASE-000708,CM-006,Document Request,2024-02-08,15
ACT-0004487,CASE-000709,CM-016,Medical Record Review,2024-12-29,1
ACT-0004488,CASE-000709,CM-016,Document Request,2025-03-14,32
ACT-0004489,CASE-000709,CM-016,Internal Note,2024-09-18,7
ACT-0004490,CASE-000709,CM-016,Medical Record Review,2024-11-01,25
ACT-0004491,CASE-000710,CM-010,Client Meeting,2025-01-23,30
ACT-0004492,CASE-000710,CM-010,Status Update,2025-02-10,8
ACT-0004493,CASE-000710,CM-010,Document Request,2024-12-06,14
ACT-0004494,CASE-000710,CM-010,Negotiation Call,2025-02-19,10
ACT-0004495,CASE-000710,CM-010,Status Update,2025-03-17,14
ACT-0004496,CASE-000711,CM-005,Internal Note,2024-05-09,32
ACT-0004497,CASE-000711,CM-005,Internal Note,2024-03-18,6
ACT-0004498,CASE-000711,CM-005,Internal Note,2024-03-25,4
ACT-0004499,CASE-000711,CM-005,Medical Record Review,2024-04-27,15
ACT-0004500,CASE-000712,CM-003,Status Update,2024-08-18,17
ACT-0004501,CASE-000712,CM-003,Email,2024-10-12,28
ACT-0004502,CASE-000712,CM-003,Demand Drafting,2024-10-17,24
ACT-0004503,CASE-000712,CM-003,Demand Drafting,2024-07-05,12
ACT-0004504,CASE-000712,CM-003,Client Meeting,2024-06-19,24
ACT-0004505,CASE-000713,CM-010,Demand Drafting,2025-06-01,17
ACT-0004506,CASE-000713,CM-010,SMS,2025-06-13,13
ACT-0004507,CASE-000713,CM-010,Document Request,2025-06-11,1
ACT-0004508,CASE-000713,CM-010,Status Update,2025-06-08,36
ACT-0004509,CASE-000713,CM-010,SMS,2025-06-11,7
ACT-0004510,CASE-000713,CM-010,Negotiation Call,2025-06-02,13
ACT-0004511,CASE-000713,CM-010,Medical Record Review,2025-06-01,25
ACT-0004512,CASE-000714,CM-006,Demand Drafting,2023-11-18,15
ACT-0004513,CASE-000714,CM-006,Medical Record Review,2024-05-02,20
ACT-0004514,CASE-000714,CM-006,SMS,2023-10-15,21
ACT-0004515,CASE-000714,CM-006,Medical Record Review,2023-08-19,17
ACT-0004516,CASE-000715,CM-014,Demand Drafting,2024-10-21,19
ACT-0004517,CASE-000715,CM-014,Email,2024-09-13,14
ACT-0004518,CASE-000715,CM-014,Email,2024-10-24,14
ACT-0004519,CASE-000715,CM-014,Internal Note,2024-10-23,36
ACT-0004520,CASE-000715,CM-014,Status Update,2024-08-20,9
ACT-0004521,CASE-000715,CM-014,Phone Call,2024-09-22,21
ACT-0004522,CASE-000716,CM-017,Email,2024-08-14,33
ACT-0004523,CASE-000716,CM-017,SMS,2024-11-02,24
ACT-0004524,CASE-000716,CM-017,Client Meeting,2024-08-21,10
ACT-0004525,CASE-000716,CM-017,Client Meeting,2024-11-20,22
ACT-0004526,CASE-000716,CM-017,Status Update,2025-01-18,4
ACT-0004527,CASE-000717,CM-002,Phone Call,2025-05-16,1
ACT-0004528,CASE-000717,CM-002,Demand Drafting,2025-02-26,20
ACT-0004529,CASE-000717,CM-002,Email,2025-04-15,15
ACT-0004530,CASE-000717,CM-002,Internal Note,2025-05-19,2
ACT-0004531,CASE-000718,CM-001,SMS,2024-04-12,37
ACT-0004532,CASE-000718,CM-001,Client Meeting,2024-02-09,16
ACT-0004533,CASE-000718,CM-001,Document Request,2024-03-13,37
ACT-0004534,CASE-000718,CM-001,SMS,2024-02-16,10
ACT-0004535,CASE-000718,CM-001,Negotiation Call,2024-03-07,16
ACT-0004536,CASE-000718,CM-001,Negotiation Call,2024-05-23,23
ACT-0004537,CASE-000718,CM-001,Internal Note,2023-12-05,14
ACT-0004538,CASE-000718,CM-001,Phone Call,2024-02-05,26
ACT-0004539,CASE-000719,CM-004,Demand Drafting,2023-12-26,15
ACT-0004540,CASE-000719,CM-004,Email,2023-11-17,11
ACT-0004541,CASE-000719,CM-004,Email,2023-10-12,28
ACT-0004542,CASE-000719,CM-004,Demand Drafting,2024-01-30,10
ACT-0004543,CASE-000719,CM-004,Medical Record Review,2023-08-14,6
ACT-0004544,CASE-000719,CM-004,Client Meeting,2023-08-09,11
ACT-0004545,CASE-000719,CM-004,Demand Drafting,2023-10-30,18
ACT-0004546,CASE-000719,CM-004,Client Meeting,2023-09-19,14
ACT-0004547,CASE-000719,CM-004,Internal Note,2023-11-06,21
ACT-0004548,CASE-000719,CM-004,Phone Call,2023-12-26,22
ACT-0004549,CASE-000719,CM-004,Client Meeting,2023-09-12,10
ACT-0004550,CASE-000719,CM-004,Phone Call,2023-08-10,8
ACT-0004551,CASE-000719,CM-004,Phone Call,2023-09-21,18
ACT-0004552,CASE-000720,CM-006,Medical Record Review,2024-07-05,35
ACT-0004553,CASE-000720,CM-006,Demand Drafting,2024-08-12,11
ACT-0004554,CASE-000720,CM-006,Document Request,2025-04-19,34
ACT-0004555,CASE-000720,CM-006,Document Request,2024-11-13,1
ACT-0004556,CASE-000721,CM-015,Demand Drafting,2025-06-04,21
ACT-0004557,CASE-000721,CM-015,Email,2025-05-19,10
ACT-0004558,CASE-000721,CM-015,Email,2025-06-08,27
ACT-0004559,CASE-000721,CM-015,Phone Call,2025-05-21,33
ACT-0004560,CASE-000721,CM-015,SMS,2025-05-15,6
ACT-0004561,CASE-000721,CM-015,Document Request,2025-06-05,16
ACT-0004562,CASE-000722,CM-004,Status Update,2024-05-14,9
ACT-0004563,CASE-000722,CM-004,Client Meeting,2024-03-13,18
ACT-0004564,CASE-000722,CM-004,SMS,2024-01-21,37
ACT-0004565,CASE-000722,CM-004,SMS,2024-03-18,15
ACT-0004566,CASE-000722,CM-004,Document Request,2024-08-06,29
ACT-0004567,CASE-000722,CM-004,Demand Drafting,2024-02-15,12
ACT-0004568,CASE-000722,CM-004,Demand Drafting,2023-11-17,13
ACT-0004569,CASE-000722,CM-004,Phone Call,2025-05-09,11
ACT-0004570,CASE-000722,CM-004,Demand Drafting,2023-10-27,14
ACT-0004571,CASE-000722,CM-004,SMS,2024-04-08,7
ACT-0004572,CASE-000723,CM-005,Medical Record Review,2024-02-09,8
ACT-0004573,CASE-000723,CM-005,Email,2023-12-22,3
ACT-0004574,CASE-000723,CM-005,Internal Note,2024-04-14,8
ACT-0004575,CASE-000723,CM-005,Medical Record Review,2023-12-04,9
ACT-0004576,CASE-000723,CM-005,Document Request,2024-06-01,15
ACT-0004577,CASE-000723,CM-005,Email,2024-03-29,29
ACT-0004578,CASE-000723,CM-005,Document Request,2024-06-19,23
ACT-0004579,CASE-000724,CM-001,Demand Drafting,2023-12-01,12
ACT-0004580,CASE-000724,CM-001,Phone Call,2023-12-29,16
ACT-0004581,CASE-000724,CM-001,Negotiation Call,2023-12-04,11
ACT-0004582,CASE-000724,CM-001,SMS,2024-06-25,9
ACT-0004583,CASE-000725,CM-001,Phone Call,2025-03-07,22
ACT-0004584,CASE-000725,CM-001,Status Update,2024-10-23,21
ACT-0004585,CASE-000725,CM-001,Document Request,2024-08-04,13
ACT-0004586,CASE-000725,CM-001,Client Meeting,2024-12-31,26
ACT-0004587,CASE-000725,CM-001,Document Request,2024-05-15,17
ACT-0004588,CASE-000725,CM-001,Internal Note,2024-03-31,18
ACT-0004589,CASE-000726,CM-007,Document Request,2024-06-15,17
ACT-0004590,CASE-000726,CM-007,Medical Record Review,2024-09-27,23
ACT-0004591,CASE-000726,CM-007,Status Update,2024-04-26,9
ACT-0004592,CASE-000726,CM-007,Status Update,2024-11-15,19
ACT-0004593,CASE-000726,CM-007,Document Request,2024-12-27,42
ACT-0004594,CASE-000726,CM-007,Internal Note,2023-11-15,9
ACT-0004595,CASE-000726,CM-007,Medical Record Review,2024-01-27,30
ACT-0004596,CASE-000726,CM-007,Status Update,2024-07-21,12
ACT-0004597,CASE-000726,CM-007,Client Meeting,2024-09-13,1
ACT-0004598,CASE-000727,CM-005,Medical Record Review,2024-10-31,27
ACT-0004599,CASE-000727,CM-005,Demand Drafting,2024-10-13,28
ACT-0004600,CASE-000727,CM-005,Email,2024-10-30,27
ACT-0004601,CASE-000727,CM-005,Demand Drafting,2024-10-26,16
ACT-0004602,CASE-000728,CM-008,Status Update,2024-01-23,11
ACT-0004603,CASE-000728,CM-008,Medical Record Review,2024-08-17,4
ACT-0004604,CASE-000728,CM-008,SMS,2024-01-20,1
ACT-0004605,CASE-000728,CM-008,SMS,2025-04-02,12
ACT-0004606,CASE-000729,CM-013,Negotiation Call,2024-05-11,4
ACT-0004607,CASE-000729,CM-013,Internal Note,2025-02-16,6
ACT-0004608,CASE-000729,CM-013,Email,2024-07-17,7
ACT-0004609,CASE-000729,CM-013,Internal Note,2024-11-16,9
ACT-0004610,CASE-000730,CM-015,Client Meeting,2025-04-08,1
ACT-0004611,CASE-000730,CM-015,Internal Note,2025-03-27,24
ACT-0004612,CASE-000730,CM-015,Demand Drafting,2025-03-23,9
ACT-0004613,CASE-000730,CM-015,Client Meeting,2024-11-23,10
ACT-0004614,CASE-000730,CM-015,Phone Call,2024-10-18,29
ACT-0004615,CASE-000730,CM-015,Status Update,2024-12-13,29
ACT-0004616,CASE-000731,CM-016,Client Meeting,2024-09-17,14
ACT-0004617,CASE-000731,CM-016,Medical Record Review,2024-09-13,20
ACT-0004618,CASE-000731,CM-016,Phone Call,2024-10-30,26
ACT-0004619,CASE-000731,CM-016,Internal Note,2024-11-06,7
ACT-0004620,CASE-000731,CM-016,Internal Note,2024-11-20,26
ACT-0004621,CASE-000731,CM-016,Document Request,2024-12-02,9
ACT-0004622,CASE-000731,CM-016,Internal Note,2025-01-06,26
ACT-0004623,CASE-000732,CM-008,Negotiation Call,2025-04-06,10
ACT-0004624,CASE-000732,CM-008,Internal Note,2025-04-13,19
ACT-0004625,CASE-000732,CM-008,SMS,2025-03-25,16
ACT-0004626,CASE-000732,CM-008,Document Request,2025-03-29,22
ACT-0004627,CASE-000733,CM-008,Status Update,2023-07-12,13
ACT-0004628,CASE-000733,CM-008,Medical Record Review,2024-01-15,5
ACT-0004629,CASE-000733,CM-008,Phone Call,2023-11-03,20
ACT-0004630,CASE-000733,CM-008,Negotiation Call,2023-11-16,23
ACT-0004631,CASE-000733,CM-008,Status Update,2023-07-21,13
ACT-0004632,CASE-000733,CM-008,Email,2023-10-06,8
ACT-0004633,CASE-000733,CM-008,Document Request,2023-12-27,20
ACT-0004634,CASE-000733,CM-008,Status Update,2023-11-05,7
ACT-0004635,CASE-000733,CM-008,Email,2023-10-08,14
ACT-0004636,CASE-000733,CM-008,Client Meeting,2023-07-22,23
ACT-0004637,CASE-000733,CM-008,Phone Call,2023-12-24,20
ACT-0004638,CASE-000734,CM-002,Client Meeting,2025-05-12,16
ACT-0004639,CASE-000734,CM-002,Phone Call,2025-04-07,13
ACT-0004640,CASE-000734,CM-002,Medical Record Review,2025-03-28,36
ACT-0004641,CASE-000734,CM-002,Phone Call,2025-04-05,35
ACT-0004642,CASE-000734,CM-002,Status Update,2025-05-12,12
ACT-0004643,CASE-000734,CM-002,Internal Note,2025-03-29,6
ACT-0004644,CASE-000734,CM-002,Email,2025-05-12,16
ACT-0004645,CASE-000734,CM-002,Status Update,2025-04-01,38
ACT-0004646,CASE-000734,CM-002,Negotiation Call,2025-04-28,17
ACT-0004647,CASE-000734,CM-002,Medical Record Review,2025-04-20,2
ACT-0004648,CASE-000734,CM-002,Document Request,2025-04-20,26
ACT-0004649,CASE-000735,CM-008,Negotiation Call,2025-03-24,3
ACT-0004650,CASE-000735,CM-008,Medical Record Review,2025-05-01,21
ACT-0004651,CASE-000735,CM-008,Internal Note,2025-04-04,21
ACT-0004652,CASE-000735,CM-008,Demand Drafting,2025-05-17,18
ACT-0004653,CASE-000735,CM-008,Demand Drafting,2025-04-13,16
ACT-0004654,CASE-000735,CM-008,Client Meeting,2025-03-27,28
ACT-0004655,CASE-000735,CM-008,Status Update,2025-04-17,1
ACT-0004656,CASE-000735,CM-008,Status Update,2025-04-16,20
ACT-0004657,CASE-000735,CM-008,Client Meeting,2025-05-07,18
ACT-0004658,CASE-000735,CM-008,Negotiation Call,2025-05-12,18
ACT-0004659,CASE-000735,CM-008,Client Meeting,2025-04-25,13
ACT-0004660,CASE-000735,CM-008,SMS,2025-04-12,11
ACT-0004661,CASE-000735,CM-008,Phone Call,2025-04-30,12
ACT-0004662,CASE-000736,CM-014,Medical Record Review,2024-10-09,14
ACT-0004663,CASE-000736,CM-014,Demand Drafting,2024-10-21,19
ACT-0004664,CASE-000736,CM-014,SMS,2024-10-02,12
ACT-0004665,CASE-000737,CM-008,Status Update,2024-07-12,4
ACT-0004666,CASE-000737,CM-008,Medical Record Review,2024-05-25,18
ACT-0004667,CASE-000737,CM-008,Demand Drafting,2023-12-07,8
ACT-0004668,CASE-000737,CM-008,Email,2023-12-06,18
ACT-0004669,CASE-000737,CM-008,SMS,2024-08-16,32
ACT-0004670,CASE-000737,CM-008,Medical Record Review,2024-06-21,4
ACT-0004671,CASE-000738,CM-002,Demand Drafting,2025-01-25,13
ACT-0004672,CASE-000738,CM-002,Negotiation Call,2025-01-27,45
ACT-0004673,CASE-000738,CM-002,Internal Note,2025-03-23,23
ACT-0004674,CASE-000738,CM-002,Phone Call,2025-04-26,28
ACT-0004675,CASE-000738,CM-002,Document Request,2025-05-08,17
ACT-0004676,CASE-000738,CM-002,Medical Record Review,2025-02-27,24
ACT-0004677,CASE-000738,CM-002,Demand Drafting,2025-02-21,38
ACT-0004678,CASE-000739,CM-004,Document Request,2025-04-07,30
ACT-0004679,CASE-000739,CM-004,Internal Note,2025-05-22,18
ACT-0004680,CASE-000739,CM-004,Negotiation Call,2025-03-28,29
ACT-0004681,CASE-000739,CM-004,SMS,2025-04-10,20
ACT-0004682,CASE-000739,CM-004,Demand Drafting,2025-05-06,24
ACT-0004683,CASE-000739,CM-004,Document Request,2025-05-07,6
ACT-0004684,CASE-000739,CM-004,Status Update,2025-05-24,1
ACT-0004685,CASE-000739,CM-004,Negotiation Call,2025-05-06,23
ACT-0004686,CASE-000739,CM-004,Demand Drafting,2025-05-26,10
ACT-0004687,CASE-000739,CM-004,Document Request,2025-05-21,1
ACT-0004688,CASE-000740,CM-012,Document Request,2024-09-23,22
ACT-0004689,CASE-000740,CM-012,Status Update,2024-07-11,21
ACT-0004690,CASE-000740,CM-012,Demand Drafting,2024-02-01,33
ACT-0004691,CASE-000740,CM-012,Email,2025-01-13,13
ACT-0004692,CASE-000740,CM-012,Internal Note,2024-09-29,15
ACT-0004693,CASE-000741,CM-017,SMS,2025-05-25,19
ACT-0004694,CASE-000741,CM-017,Demand Drafting,2025-05-26,25
ACT-0004695,CASE-000741,CM-017,Medical Record Review,2025-06-10,27
ACT-0004696,CASE-000741,CM-017,Internal Note,2025-05-31,13
ACT-0004697,CASE-000741,CM-017,Medical Record Review,2025-05-28,28
ACT-0004698,CASE-000741,CM-017,Medical Record Review,2025-06-26,17
ACT-0004699,CASE-000741,CM-017,Document Request,2025-06-29,28
ACT-0004700,CASE-000741,CM-017,SMS,2025-06-17,18
ACT-0004701,CASE-000741,CM-017,Medical Record Review,2025-06-01,22
ACT-0004702,CASE-000742,CM-005,Email,2025-05-14,3
ACT-0004703,CASE-000742,CM-005,Internal Note,2025-05-31,14
ACT-0004704,CASE-000742,CM-005,Negotiation Call,2025-06-01,24
ACT-0004705,CASE-000742,CM-005,SMS,2025-05-18,29
ACT-0004706,CASE-000743,CM-014,SMS,2024-11-10,12
ACT-0004707,CASE-000743,CM-014,Email,2024-08-22,26
ACT-0004708,CASE-000743,CM-014,Medical Record Review,2024-11-29,1
ACT-0004709,CASE-000743,CM-014,Negotiation Call,2024-09-18,17
ACT-0004710,CASE-000744,CM-017,SMS,2024-10-27,19
ACT-0004711,CASE-000744,CM-017,Internal Note,2025-01-31,25
ACT-0004712,CASE-000744,CM-017,Phone Call,2024-12-25,37
ACT-0004713,CASE-000744,CM-017,Email,2024-11-09,1
ACT-0004714,CASE-000744,CM-017,Status Update,2025-01-11,15
ACT-0004715,CASE-000744,CM-017,Status Update,2025-02-23,29
ACT-0004716,CASE-000744,CM-017,Phone Call,2025-02-06,31
ACT-0004717,CASE-000744,CM-017,Email,2024-11-20,28
ACT-0004718,CASE-000744,CM-017,Medical Record Review,2025-02-02,13
ACT-0004719,CASE-000744,CM-017,Email,2025-01-09,30
ACT-0004720,CASE-000745,CM-003,SMS,2025-06-25,44
ACT-0004721,CASE-000745,CM-003,Negotiation Call,2025-06-26,1
ACT-0004722,CASE-000745,CM-003,Email,2025-06-25,20
ACT-0004723,CASE-000745,CM-003,Email,2025-06-25,10
ACT-0004724,CASE-000745,CM-003,Phone Call,2025-06-25,14
ACT-0004725,CASE-000746,CM-010,Client Meeting,2024-06-12,7
ACT-0004726,CASE-000746,CM-010,Document Request,2024-06-07,13
ACT-0004727,CASE-000746,CM-010,SMS,2024-06-29,15
ACT-0004728,CASE-000746,CM-010,Internal Note,2024-07-11,17
ACT-0004729,CASE-000746,CM-010,Document Request,2024-07-17,20
ACT-0004730,CASE-000746,CM-010,Document Request,2024-07-02,23
ACT-0004731,CASE-000746,CM-010,SMS,2024-06-01,1
ACT-0004732,CASE-000747,CM-011,Client Meeting,2025-02-22,25
ACT-0004733,CASE-000747,CM-011,Demand Drafting,2025-02-24,17
ACT-0004734,CASE-000747,CM-011,Phone Call,2025-03-11,8
ACT-0004735,CASE-000747,CM-011,Email,2025-03-18,25
ACT-0004736,CASE-000747,CM-011,Phone Call,2025-03-12,32
ACT-0004737,CASE-000747,CM-011,Client Meeting,2025-03-22,27
ACT-0004738,CASE-000747,CM-011,Status Update,2025-03-04,38
ACT-0004739,CASE-000748,CM-006,Demand Drafting,2024-08-01,27
ACT-0004740,CASE-000748,CM-006,SMS,2025-01-10,26
ACT-0004741,CASE-000748,CM-006,Document Request,2024-10-14,29
ACT-0004742,CASE-000748,CM-006,Document Request,2024-06-14,22
ACT-0004743,CASE-000748,CM-006,Email,2024-12-15,19
ACT-0004744,CASE-000748,CM-006,Status Update,2024-12-15,11
ACT-0004745,CASE-000748,CM-006,Phone Call,2024-10-28,7
ACT-0004746,CASE-000748,CM-006,Document Request,2024-11-06,34
ACT-0004747,CASE-000749,CM-013,Medical Record Review,2025-02-20,17
ACT-0004748,CASE-000749,CM-013,Negotiation Call,2025-03-13,16
ACT-0004749,CASE-000749,CM-013,Internal Note,2025-02-25,29
ACT-0004750,CASE-000749,CM-013,Email,2025-03-18,36
ACT-0004751,CASE-000749,CM-013,Client Meeting,2025-03-14,9
ACT-0004752,CASE-000749,CM-013,Email,2025-03-03,23
ACT-0004753,CASE-000749,CM-013,Internal Note,2025-02-19,12
ACT-0004754,CASE-000750,CM-015,Negotiation Call,2024-10-14,16
ACT-0004755,CASE-000750,CM-015,Email,2024-10-03,21
ACT-0004756,CASE-000751,CM-014,Client Meeting,2024-11-13,19
ACT-0004757,CASE-000751,CM-014,Internal Note,2024-09-25,38
ACT-0004758,CASE-000751,CM-014,Phone Call,2024-10-31,4
ACT-0004759,CASE-000751,CM-014,Phone Call,2024-10-21,27
ACT-0004760,CASE-000751,CM-014,Negotiation Call,2024-11-15,1
ACT-0004761,CASE-000751,CM-014,Client Meeting,2024-10-26,29
ACT-0004762,CASE-000751,CM-014,Negotiation Call,2024-10-06,12
ACT-0004763,CASE-000752,CM-001,Document Request,2024-10-18,25
ACT-0004764,CASE-000752,CM-001,Document Request,2024-10-07,26
ACT-0004765,CASE-000752,CM-001,Phone Call,2024-06-15,17
ACT-0004766,CASE-000752,CM-001,Medical Record Review,2024-03-19,23
ACT-0004767,CASE-000753,CM-007,Status Update,2025-03-23,28
ACT-0004768,CASE-000753,CM-007,Internal Note,2025-01-09,18
ACT-0004769,CASE-000753,CM-007,Document Request,2024-09-28,19
ACT-0004770,CASE-000753,CM-007,SMS,2024-09-17,10
ACT-0004771,CASE-000754,CM-012,Status Update,2024-07-26,20
ACT-0004772,CASE-000754,CM-012,Document Request,2024-06-26,23
ACT-0004773,CASE-000754,CM-012,Phone Call,2024-04-24,40
ACT-0004774,CASE-000754,CM-012,Medical Record Review,2024-05-17,27
ACT-0004775,CASE-000755,CM-002,Internal Note,2023-12-26,39
ACT-0004776,CASE-000755,CM-002,SMS,2023-10-10,22
ACT-0004777,CASE-000755,CM-002,Demand Drafting,2024-03-29,9
ACT-0004778,CASE-000755,CM-002,Document Request,2024-03-15,22
ACT-0004779,CASE-000755,CM-002,Status Update,2023-12-13,3
ACT-0004780,CASE-000755,CM-002,Email,2024-02-11,18
ACT-0004781,CASE-000755,CM-002,Medical Record Review,2024-02-04,11
ACT-0004782,CASE-000755,CM-002,Internal Note,2023-11-12,14
ACT-0004783,CASE-000755,CM-002,Internal Note,2023-09-10,29
ACT-0004784,CASE-000756,CM-018,Internal Note,2024-01-15,2
ACT-0004785,CASE-000756,CM-018,Negotiation Call,2023-12-08,28
ACT-0004786,CASE-000756,CM-018,Negotiation Call,2024-06-09,11
ACT-0004787,CASE-000756,CM-018,Negotiation Call,2024-03-23,18
ACT-0004788,CASE-000756,CM-018,Internal Note,2024-01-31,28
ACT-0004789,CASE-000756,CM-018,Email,2024-09-22,26
ACT-0004790,CASE-000757,CM-012,Email,2024-08-11,21
ACT-0004791,CASE-000757,CM-012,Medical Record Review,2023-09-21,14
ACT-0004792,CASE-000757,CM-012,Phone Call,2023-09-16,3
ACT-0004793,CASE-000757,CM-012,Client Meeting,2024-10-13,18
ACT-0004794,CASE-000757,CM-012,SMS,2024-03-14,28
ACT-0004795,CASE-000757,CM-012,Email,2023-09-05,4
ACT-0004796,CASE-000758,CM-012,Internal Note,2024-06-10,23
ACT-0004797,CASE-000758,CM-012,Demand Drafting,2025-02-23,32
ACT-0004798,CASE-000758,CM-012,Status Update,2024-06-14,17
ACT-0004799,CASE-000758,CM-012,Status Update,2025-01-27,30
ACT-0004800,CASE-000758,CM-012,Demand Drafting,2024-08-18,16
ACT-0004801,CASE-000758,CM-012,SMS,2025-03-15,13
ACT-0004802,CASE-000758,CM-012,Medical Record Review,2024-10-29,14
ACT-0004803,CASE-000758,CM-012,Status Update,2024-09-23,26
ACT-0004804,CASE-000759,CM-017,Internal Note,2023-08-22,6
ACT-0004805,CASE-000759,CM-017,Client Meeting,2023-07-30,13
ACT-0004806,CASE-000760,CM-005,Internal Note,2024-02-27,32
ACT-0004807,CASE-000760,CM-005,Demand Drafting,2025-02-23,18
ACT-0004808,CASE-000760,CM-005,Email,2025-01-28,16
ACT-0004809,CASE-000760,CM-005,SMS,2023-12-12,2
ACT-0004810,CASE-000761,CM-003,Medical Record Review,2025-05-03,19
ACT-0004811,CASE-000761,CM-003,Internal Note,2025-01-25,22
ACT-0004812,CASE-000761,CM-003,Status Update,2025-05-22,27
ACT-0004813,CASE-000761,CM-003,Negotiation Call,2025-04-03,14
ACT-0004814,CASE-000762,CM-002,Negotiation Call,2025-01-21,18
ACT-0004815,CASE-000762,CM-002,Internal Note,2024-12-03,20
ACT-0004816,CASE-000762,CM-002,Internal Note,2025-01-02,46
ACT-0004817,CASE-000762,CM-002,Phone Call,2024-12-10,2
ACT-0004818,CASE-000762,CM-002,Document Request,2025-01-20,34
ACT-0004819,CASE-000762,CM-002,Phone Call,2024-12-29,30
ACT-0004820,CASE-000762,CM-002,Document Request,2025-02-02,20
ACT-0004821,CASE-000762,CM-002,Internal Note,2024-12-02,33
ACT-0004822,CASE-000762,CM-002,Medical Record Review,2024-12-10,33
ACT-0004823,CASE-000762,CM-002,Email,2024-12-12,27
ACT-0004824,CASE-000763,CM-011,Status Update,2024-12-29,31
ACT-0004825,CASE-000763,CM-011,Demand Drafting,2025-01-27,20
ACT-0004826,CASE-000763,CM-011,Internal Note,2025-01-31,23
ACT-0004827,CASE-000763,CM-011,Document Request,2025-01-28,5
ACT-0004828,CASE-000763,CM-011,Internal Note,2025-01-02,25
ACT-0004829,CASE-000764,CM-015,Status Update,2024-11-24,15
ACT-0004830,CASE-000764,CM-015,Status Update,2024-08-27,7
ACT-0004831,CASE-000764,CM-015,Demand Drafting,2025-03-21,6
ACT-0004832,CASE-000764,CM-015,Medical Record Review,2025-03-20,30
ACT-0004833,CASE-000764,CM-015,Document Request,2025-05-04,33
ACT-0004834,CASE-000765,CM-010,SMS,2024-05-14,1
ACT-0004835,CASE-000765,CM-010,Email,2024-05-06,1
ACT-0004836,CASE-000765,CM-010,Status Update,2024-04-09,35
ACT-0004837,CASE-000765,CM-010,Phone Call,2024-09-01,9
ACT-0004838,CASE-000765,CM-010,Client Meeting,2024-04-19,21
ACT-0004839,CASE-000766,CM-010,Internal Note,2025-05-01,23
ACT-0004840,CASE-000766,CM-010,Email,2025-04-23,15
ACT-0004841,CASE-000766,CM-010,Demand Drafting,2025-06-26,40
ACT-0004842,CASE-000767,CM-014,Negotiation Call,2025-01-13,7
ACT-0004843,CASE-000767,CM-014,Client Meeting,2024-11-01,34
ACT-0004844,CASE-000767,CM-014,Negotiation Call,2024-12-09,1
